Brand,Model,Year,KM_Driven,Fuel_Type,Mileage,Transmission,Owner_Type,Engine,Seats,Selling_Price
Toyota,Glanza,2011,167114,Petrol,17.4,Manual,First Owner,1498,6,235264
Kia,Seltos,2022,175458,Petrol,26.5,Manual,First Owner,796,5,516753
Mahindra,Bolero,2016,7584,Petrol,29.7,Automatic,First Owner,2179,4,802556
Honda,City,2011,108815,Diesel,29.4,Automatic,First Owner,998,4,347209
Hyundai,i20,2019,37626,Diesel,18.2,Automatic,Third Owner,796,6,598498
Mahindra,Scorpio,2018,61795,Diesel,17.3,Manual,Third Owner,796,5,553339
Honda,Amaze,2014,82463,CNG,29.7,Manual,Second Owner,1248,6,414914
Honda,Amaze,2019,145442,Diesel,15.3,Manual,First Owner,796,7,386491
Tata,Harrier,2014,184203,Diesel,23.1,Automatic,Third Owner,796,6,262986
Toyota,Urban Cruiser,2024,134423,Diesel,16.6,Manual,First Owner,1997,5,792805
Hyundai,Venue,2019,187360,CNG,22.3,Manual,First Owner,796,5,418341
Honda,WR-V,2023,190524,Diesel,17.4,Manual,Second Owner,1498,7,626188
Mahindra,XUV700,2016,132572,Diesel,18.7,Automatic,Second Owner,1197,4,478517
Kia,Sonet,2016,199370,CNG,27.9,Manual,Third Owner,1997,7,477510
Kia,Sonet,2014,169976,Petrol,15.5,Manual,Third Owner,998,7,258373
Honda,City,2014,126730,Petrol,25.9,Manual,First Owner,1497,5,373149
Honda,WR-V,2014,125905,Petrol,18.2,Automatic,First Owner,1498,6,412578
Toyota,Glanza,2012,182052,CNG,29.5,Automatic,Second Owner,998,7,288066
Maruti,Dzire,2018,179925,Diesel,21.9,Manual,Third Owner,1197,6,422404
Hyundai,Creta,2015,144383,Diesel,26.3,Automatic,First Owner,796,7,393982
Maruti,Dzire,2012,88964,Petrol,21.7,Manual,Second Owner,1498,5,411303
Honda,Amaze,2017,167263,CNG,15.6,Manual,Third Owner,1248,7,425706
Toyota,Urban Cruiser,2013,157916,CNG,20.4,Automatic,Third Owner,2179,5,411288
Tata,Punch,2024,20029,CNG,14,Manual,First Owner,1997,6,942741
Mahindra,Scorpio,2018,196112,Petrol,13.2,Automatic,Third Owner,1497,7,373479
Mahindra,XUV300,2025,116327,Petrol,15.4,Manual,First Owner,796,7,708088
Toyota,Innova,2024,182871,Diesel,20.7,Manual,Third Owner,796,7,613521
Kia,Carens,2024,115471,Petrol,14.6,Automatic,Second Owner,1497,7,717887
Kia,Carens,2022,30548,Petrol,16.3,Manual,Second Owner,1248,7,718818
Maruti,Dzire,2012,82727,Petrol,15.7,Manual,Second Owner,1497,4,394769
Honda,Amaze,2012,88702,CNG,25.5,Manual,First Owner,1997,7,435556
Toyota,Fortuner,2019,111337,Petrol,21.7,Manual,Second Owner,796,4,548844
Toyota,Innova,2010,19862,Diesel,18,Manual,Third Owner,998,7,336890
Hyundai,Verna,2022,95987,Petrol,21.2,Automatic,First Owner,1197,4,747116
Maruti,Swift,2016,137821,Diesel,22.9,Automatic,First Owner,1248,7,454006
Kia,Seltos,2014,188790,CNG,20.7,Automatic,Second Owner,1248,6,264279
Toyota,Innova,2025,88942,CNG,15.5,Manual,First Owner,998,7,794859
Hyundai,i20,2024,198138,Diesel,25.2,Automatic,First Owner,1197,6,666513
Maruti,WagonR,2014,122307,Diesel,22.3,Manual,Third Owner,1197,4,320242
Kia,Seltos,2015,105006,Diesel,15,Manual,Third Owner,1497,4,445058
Kia,Seltos,2020,52079,Diesel,17.1,Automatic,Third Owner,998,7,635870
Maruti,Swift,2018,85421,Petrol,13.5,Manual,First Owner,796,4,505519
Kia,Sonet,2024,196937,CNG,12.4,Manual,First Owner,1497,4,640287
Tata,Nexon,2021,19724,CNG,24.5,Automatic,Third Owner,998,7,768832
Mahindra,Bolero,2023,10732,Petrol,20.6,Manual,First Owner,1248,4,803405
Mahindra,XUV300,2013,56133,Petrol,22.5,Manual,Third Owner,1997,7,512380
Mahindra,Bolero,2020,178529,CNG,25.6,Manual,First Owner,796,6,458752
Tata,Nexon,2022,37487,Petrol,17.4,Manual,Third Owner,998,6,739250
Honda,Jazz,2011,19144,CNG,22,Manual,First Owner,998,6,423314
Toyota,Urban Cruiser,2020,168880,CNG,13.1,Manual,Third Owner,1197,4,482789
Tata,Harrier,2023,123408,Diesel,15,Automatic,First Owner,1498,5,743583
Hyundai,Creta,2022,132194,Diesel,23.5,Manual,First Owner,998,7,644352
Honda,Jazz,2014,167299,CNG,15.8,Manual,First Owner,2179,4,423620
Maruti,Swift,2019,10954,Petrol,17.3,Manual,Third Owner,1997,7,785178
Kia,Carens,2016,157213,CNG,21.5,Automatic,Third Owner,1498,7,401558
Honda,Amaze,2013,130591,Petrol,15.8,Manual,First Owner,1997,7,407020
Tata,Punch,2018,91562,CNG,29.2,Automatic,Third Owner,796,5,590297
Mahindra,Scorpio,2019,174791,Petrol,20.4,Automatic,Third Owner,1997,4,532764
Tata,Punch,2024,127008,Diesel,23.6,Manual,First Owner,1248,6,689243
Mahindra,Scorpio,2013,176492,Petrol,23.6,Automatic,First Owner,2179,5,358801
Maruti,Dzire,2020,31784,Diesel,16.8,Manual,Second Owner,796,6,614283
Honda,WR-V,2013,171855,Diesel,14.5,Manual,Second Owner,1248,6,229270
Tata,Harrier,2023,7957,CNG,15.3,Automatic,Second Owner,1997,5,965332
Maruti,Baleno,2011,123449,Diesel,16.4,Automatic,Second Owner,2179,4,359207
Tata,Altroz,2011,177166,Petrol,29.3,Automatic,Second Owner,1497,4,224855
Toyota,Fortuner,2012,128711,CNG,20.2,Automatic,First Owner,1197,6,323092
Kia,Carens,2022,20909,CNG,14.9,Automatic,Second Owner,998,6,735113
Kia,Seltos,2012,56503,Diesel,16.3,Automatic,Third Owner,796,5,391673
Honda,City,2010,121568,Petrol,19.1,Automatic,Second Owner,998,4,234939
Mahindra,XUV700,2016,87996,Diesel,24.5,Automatic,Second Owner,1248,5,528227
Maruti,Dzire,2020,88066,Petrol,16.4,Manual,Second Owner,1498,4,645031
Honda,Jazz,2020,174734,CNG,25.4,Automatic,First Owner,1997,4,641110
Mahindra,XUV300,2023,9132,CNG,29.5,Manual,First Owner,2179,6,994536
Hyundai,Verna,2019,104892,CNG,13.3,Manual,First Owner,796,4,515050
Maruti,WagonR,2011,88077,CNG,19.5,Manual,Second Owner,998,4,316922
Maruti,Swift,2010,152140,Diesel,29.8,Manual,Third Owner,2179,7,322703
Kia,Seltos,2020,97590,Petrol,24,Manual,Second Owner,1997,6,695499
Honda,City,2012,125740,Diesel,25.8,Automatic,Third Owner,2179,7,471281
Hyundai,i20,2015,18914,Diesel,14.6,Manual,Third Owner,998,4,483116
Honda,City,2013,30446,Petrol,22.4,Manual,Third Owner,2179,4,621792
Hyundai,Creta,2013,171074,Diesel,25.7,Manual,Second Owner,1497,6,319758
Toyota,Urban Cruiser,2023,48349,Diesel,16.9,Manual,Second Owner,796,6,745364
Toyota,Urban Cruiser,2013,111285,Petrol,21.7,Manual,Second Owner,2179,5,426513
Kia,Sonet,2015,122803,Petrol,15.8,Manual,Second Owner,1997,7,450033
Mahindra,XUV300,2016,64054,Petrol,18.2,Manual,Third Owner,796,6,487087
Mahindra,Scorpio,2012,35604,Petrol,28.4,Manual,First Owner,1997,6,571607
Hyundai,Venue,2022,130836,Petrol,18.4,Manual,Second Owner,1497,4,657247
Maruti,Dzire,2013,157300,Diesel,22.5,Automatic,Second Owner,998,4,264367
Mahindra,Scorpio,2022,58564,Petrol,18.9,Automatic,First Owner,1197,6,751656
Hyundai,Venue,2025,72429,CNG,25.6,Automatic,Second Owner,998,5,850334
Kia,Carens,2024,9886,CNG,29.5,Manual,First Owner,796,6,901074
Mahindra,XUV300,2019,38702,CNG,28.7,Manual,Second Owner,998,7,623046
Kia,Carens,2016,180314,CNG,15.6,Automatic,Second Owner,1498,4,418860
Honda,WR-V,2011,151965,CNG,21.3,Automatic,Second Owner,2179,4,333663
Toyota,Innova,2010,90854,Petrol,23.3,Automatic,First Owner,1497,5,376355
Maruti,WagonR,2019,78941,Diesel,17.4,Manual,Third Owner,1248,7,552385
Honda,Jazz,2017,92576,CNG,15.8,Manual,Third Owner,796,4,408022
Toyota,Glanza,2011,137420,Diesel,21.1,Automatic,Second Owner,796,7,171518
Kia,Sonet,2018,116709,Diesel,19.7,Automatic,Second Owner,796,6,477303
Honda,Amaze,2020,196838,Diesel,26.6,Manual,First Owner,1497,5,556343
Toyota,Urban Cruiser,2023,11308,Petrol,22.5,Automatic,Second Owner,1248,4,872539
Toyota,Fortuner,2022,62216,Petrol,14.8,Automatic,First Owner,796,4,674071
Kia,Seltos,2018,129549,CNG,17.4,Automatic,First Owner,1497,4,563930
Maruti,Baleno,2017,59292,Petrol,17,Automatic,First Owner,1498,5,568016
Kia,Sonet,2021,175762,CNG,23.8,Automatic,Third Owner,1497,7,617609
Hyundai,Verna,2010,75678,Diesel,27.8,Automatic,First Owner,796,4,299701
Hyundai,i20,2025,192367,CNG,12.1,Automatic,Third Owner,1497,5,686312
Kia,Sonet,2012,5022,Petrol,15.6,Automatic,Second Owner,1498,7,513703
Tata,Altroz,2012,45955,Diesel,16.5,Automatic,First Owner,1997,6,546158
Toyota,Urban Cruiser,2016,26182,Diesel,28.2,Manual,Third Owner,1248,6,613581
Honda,Jazz,2020,175024,CNG,13.5,Manual,Third Owner,1197,4,425924
Maruti,Dzire,2012,111950,Diesel,20.9,Automatic,Second Owner,2179,7,433424
Hyundai,i20,2017,74952,Diesel,12.5,Manual,Third Owner,1997,7,547461
Tata,Harrier,2017,177197,CNG,21.2,Automatic,Third Owner,1497,6,421025
Honda,Jazz,2022,79067,CNG,23.6,Manual,First Owner,1997,5,845076
Tata,Altroz,2021,198693,Petrol,23.6,Manual,Third Owner,796,6,475524
Hyundai,i20,2014,72797,Diesel,23.3,Automatic,Second Owner,1498,4,504091
Honda,Jazz,2019,57214,Petrol,19.9,Automatic,First Owner,1498,5,710979
Mahindra,Scorpio,2019,150964,Diesel,29.7,Automatic,Third Owner,2179,4,670540
Mahindra,XUV300,2021,106030,CNG,21.6,Manual,Second Owner,1248,7,636060
Hyundai,i20,2016,91396,CNG,26.4,Manual,First Owner,1197,4,448174
Tata,Nexon,2011,65842,Petrol,15.7,Automatic,Third Owner,998,4,333897
Honda,Jazz,2016,56700,Petrol,21.1,Manual,First Owner,998,6,547025
Mahindra,XUV300,2016,177903,Petrol,29.7,Automatic,First Owner,796,5,329325
Hyundai,Venue,2012,80042,Diesel,21.3,Manual,First Owner,2179,5,454599
Kia,Seltos,2010,71746,Diesel,26.4,Automatic,First Owner,1498,4,403051
Toyota,Glanza,2025,71788,CNG,26.7,Manual,Second Owner,1497,6,924171
Honda,City,2012,119196,Diesel,25.4,Manual,First Owner,796,6,240697
Maruti,WagonR,2014,34741,Diesel,15.1,Manual,Second Owner,1197,5,505092
Mahindra,XUV700,2011,98993,CNG,20.5,Automatic,Third Owner,1248,6,280878
Toyota,Urban Cruiser,2018,39237,CNG,22.5,Automatic,Third Owner,2179,5,776251
Kia,Carens,2023,38077,Diesel,14.8,Manual,First Owner,2179,4,862157
Maruti,WagonR,2022,8710,Petrol,13.2,Manual,Second Owner,998,4,780093
Kia,Seltos,2019,156185,CNG,13.1,Manual,Second Owner,1197,4,416869
Maruti,Dzire,2019,129718,Petrol,21.7,Automatic,First Owner,1248,5,603300
Maruti,WagonR,2020,146158,Diesel,14.7,Manual,Second Owner,2179,7,669019
Tata,Harrier,2019,194091,Diesel,21.4,Manual,Third Owner,1197,4,406103
Toyota,Glanza,2024,142381,CNG,21.3,Manual,Second Owner,796,4,667970
Maruti,Dzire,2025,90089,Diesel,29.4,Manual,First Owner,1497,7,820393
Mahindra,XUV300,2010,178060,Diesel,27.1,Automatic,First Owner,998,6,213854
Kia,Sonet,2018,91382,Petrol,29.9,Automatic,First Owner,998,6,543422
Maruti,WagonR,2011,136087,Diesel,17.5,Manual,First Owner,2179,5,368667
Tata,Harrier,2011,90054,Diesel,25.3,Automatic,Third Owner,1997,6,412053
Hyundai,i20,2010,99534,CNG,19.3,Manual,Second Owner,2179,7,370257
Kia,Carens,2011,85703,Petrol,27.2,Manual,Third Owner,1497,6,341475
Kia,Sonet,2018,55553,Diesel,21.4,Manual,Second Owner,1248,7,583816
Tata,Punch,2018,160465,CNG,29.3,Automatic,First Owner,1497,5,578282
Toyota,Fortuner,2022,146998,Petrol,23.8,Manual,First Owner,2179,6,715252
Honda,City,2020,39550,Petrol,27.1,Automatic,Second Owner,2179,5,896230
Tata,Punch,2012,20482,Petrol,21,Manual,First Owner,1248,6,486135
Toyota,Fortuner,2025,22475,Diesel,27.9,Automatic,Second Owner,1997,4,1095643
Honda,WR-V,2021,191711,CNG,22.8,Automatic,First Owner,1248,6,497179
Hyundai,Creta,2017,151663,Petrol,28,Automatic,First Owner,1197,5,434220
Honda,Jazz,2019,58496,Diesel,20,Automatic,First Owner,1248,5,644573
Mahindra,XUV300,2024,19397,Petrol,26.3,Automatic,Third Owner,998,5,880050
Toyota,Glanza,2010,29506,CNG,12.1,Automatic,First Owner,796,5,310112
Hyundai,Creta,2020,122239,CNG,15.7,Manual,Second Owner,1197,7,590023
Toyota,Fortuner,2012,29876,CNG,26.4,Manual,Third Owner,1248,6,464032
Mahindra,Scorpio,2012,183325,Diesel,15.5,Manual,Second Owner,1248,4,144382
Kia,Seltos,2012,86848,Diesel,21.3,Manual,Third Owner,1248,5,368620
Toyota,Fortuner,2017,101902,Diesel,15.7,Automatic,Second Owner,1248,4,507366
Mahindra,XUV700,2018,80823,CNG,29.7,Manual,Third Owner,796,6,543954
Kia,Carens,2020,82026,Petrol,27.5,Automatic,First Owner,1497,4,708865
Kia,Sonet,2014,19684,Diesel,29.9,Manual,Third Owner,796,6,549358
Maruti,WagonR,2022,15766,Petrol,23.6,Automatic,Second Owner,998,6,861818
Tata,Altroz,2015,131447,Petrol,28.9,Manual,Second Owner,796,4,329773
Honda,Amaze,2018,166329,Petrol,24.3,Automatic,Third Owner,796,7,415854
Honda,Jazz,2010,181874,Petrol,23.7,Manual,First Owner,1248,5,162143
Honda,WR-V,2024,66520,Diesel,17.1,Manual,Third Owner,796,6,712125
Mahindra,XUV300,2023,170569,Petrol,15.8,Automatic,Third Owner,1248,5,643261
Mahindra,XUV300,2020,172020,Diesel,29.1,Automatic,First Owner,1498,6,618680
Tata,Nexon,2019,35824,CNG,28.4,Manual,First Owner,1997,5,765610
Maruti,Dzire,2017,111014,Petrol,14.3,Manual,First Owner,1497,5,511811
Maruti,Dzire,2012,132072,Petrol,25.9,Automatic,Third Owner,1497,6,374650
Mahindra,XUV700,2020,157835,Diesel,20.7,Manual,Second Owner,1997,5,619675
Kia,Seltos,2012,63329,CNG,22.8,Manual,Third Owner,1498,6,377971
Honda,City,2017,32916,Petrol,19.5,Automatic,First Owner,998,7,627198
Honda,WR-V,2025,171887,Diesel,14.3,Automatic,Third Owner,998,6,674900
Hyundai,Venue,2017,60150,Petrol,14.5,Manual,First Owner,2179,7,611889
Tata,Punch,2021,186043,CNG,20,Automatic,First Owner,796,7,518506
Kia,Sonet,2024,132454,Petrol,17.7,Manual,First Owner,1197,7,686837
Mahindra,XUV300,2020,41116,Petrol,27.4,Manual,Third Owner,1498,6,708787
Mahindra,XUV700,2020,180758,CNG,26.4,Automatic,Second Owner,1997,6,654919
Kia,Carens,2016,87178,Petrol,26.5,Automatic,First Owner,1498,6,530618
Hyundai,Creta,2025,63719,Petrol,14.3,Manual,Second Owner,998,5,762060
Maruti,Dzire,2013,150057,CNG,12.6,Automatic,Third Owner,1248,7,280006
Hyundai,Verna,2010,185739,CNG,13.4,Automatic,First Owner,998,5,134980
Toyota,Urban Cruiser,2011,41959,Diesel,12.4,Manual,Third Owner,2179,6,495053
Maruti,Baleno,2022,89948,Petrol,18.4,Automatic,First Owner,1997,5,840802
Toyota,Urban Cruiser,2021,56451,CNG,29.2,Automatic,Second Owner,1498,5,816681
Kia,Seltos,2011,148723,Diesel,24.8,Automatic,First Owner,1997,5,365936
Maruti,Swift,2016,163477,CNG,23.3,Manual,First Owner,1497,7,384780
Hyundai,Creta,2017,128702,Petrol,29.5,Automatic,First Owner,796,7,512725
Hyundai,i20,2010,94284,Petrol,17.8,Manual,First Owner,2179,6,348961
Honda,WR-V,2021,196219,Petrol,19.8,Manual,First Owner,796,7,484688
Mahindra,XUV300,2016,167634,CNG,28.6,Manual,Third Owner,1498,6,449983
Tata,Nexon,2019,38019,Petrol,22,Manual,Second Owner,1197,4,705656
Kia,Carens,2020,97879,CNG,26.7,Automatic,Third Owner,1997,5,756890
Honda,City,2014,168009,Petrol,13.1,Automatic,First Owner,1197,6,317499
Honda,WR-V,2022,168393,Diesel,28,Automatic,Third Owner,1997,4,722774
Tata,Punch,2021,180574,Diesel,21.8,Manual,Second Owner,1497,5,524099
Kia,Sonet,2020,8349,Diesel,22.1,Automatic,First Owner,1197,4,740279
Hyundai,Creta,2010,12283,Petrol,13,Automatic,First Owner,796,6,332830
Maruti,Swift,2017,127849,CNG,16,Automatic,Third Owner,1997,6,587243
Kia,Seltos,2020,15117,Petrol,20.1,Manual,Second Owner,2179,5,856122
Mahindra,Bolero,2013,141928,CNG,20.1,Automatic,First Owner,1197,7,315948
Kia,Seltos,2020,192003,Diesel,28.6,Manual,First Owner,796,6,410459
Tata,Harrier,2014,171207,Diesel,19.7,Automatic,Third Owner,1248,6,358922
Tata,Nexon,2024,32912,Diesel,15.2,Manual,First Owner,1497,6,828533
Kia,Seltos,2018,129604,Diesel,26.8,Manual,Third Owner,1497,6,550968
Tata,Altroz,2023,79760,Petrol,27.6,Manual,Second Owner,796,4,763938
Tata,Harrier,2019,125357,Petrol,16.7,Manual,Third Owner,2179,6,674204
Hyundai,Venue,2016,66244,Diesel,19.8,Manual,First Owner,998,4,526265
Tata,Punch,2021,192874,CNG,27.4,Automatic,Second Owner,1248,5,602568
Kia,Carens,2018,165274,Petrol,26.8,Automatic,First Owner,796,5,463970
Maruti,Swift,2021,185851,Petrol,14.7,Automatic,Second Owner,1997,5,589141
Kia,Sonet,2020,127511,CNG,15.6,Automatic,Third Owner,1248,4,619821
Honda,Jazz,2016,99031,Petrol,28.2,Automatic,Third Owner,796,6,455474
Mahindra,Scorpio,2011,142320,CNG,26.5,Automatic,Second Owner,796,4,271989
Tata,Harrier,2025,34413,Petrol,13.8,Manual,Second Owner,1197,7,800058
Tata,Altroz,2012,193229,CNG,25.9,Automatic,Second Owner,1497,5,297881
Maruti,Dzire,2016,109316,Diesel,12.2,Automatic,Third Owner,1498,5,496415
Hyundai,Verna,2020,5693,CNG,26.6,Automatic,Second Owner,1497,5,810161
Toyota,Fortuner,2015,70164,Petrol,29.9,Automatic,First Owner,998,5,529345
Mahindra,Bolero,2023,10642,Diesel,29.8,Manual,First Owner,1197,6,922473
Maruti,Dzire,2010,36872,Petrol,26.6,Manual,Third Owner,1997,6,419542
Toyota,Fortuner,2018,5085,Diesel,12.9,Automatic,Second Owner,1248,6,706502
Toyota,Glanza,2016,181485,CNG,26.4,Manual,First Owner,1248,5,335736
Kia,Seltos,2013,12864,CNG,18.7,Manual,Second Owner,1997,4,586692
Toyota,Glanza,2025,89408,CNG,21.6,Automatic,First Owner,1197,6,785758
Kia,Carens,2017,95126,CNG,29.4,Automatic,Second Owner,1997,5,626280
Honda,Amaze,2013,116677,Diesel,29.4,Automatic,Third Owner,998,7,381172
Kia,Sonet,2020,171089,CNG,15.8,Automatic,First Owner,2179,7,637974
Toyota,Glanza,2020,44997,Diesel,29,Automatic,Third Owner,1997,4,887851
Hyundai,Verna,2022,152569,Petrol,22.1,Manual,First Owner,1197,5,566016
Honda,WR-V,2014,187174,Diesel,29.3,Manual,First Owner,1498,5,297041
Maruti,Dzire,2012,137470,Petrol,23.7,Manual,Third Owner,796,7,242059
Mahindra,XUV700,2013,19832,CNG,14.8,Automatic,Third Owner,1197,7,455636
Hyundai,Venue,2014,71574,Petrol,29.4,Manual,Second Owner,1197,7,419368
Hyundai,Venue,2024,21891,Diesel,22.2,Automatic,First Owner,1498,7,906218
Honda,City,2019,176321,CNG,25.6,Manual,Third Owner,998,5,481871
Tata,Nexon,2023,120028,Petrol,28.6,Automatic,Second Owner,1248,6,788924
Toyota,Innova,2018,10863,Diesel,14.8,Manual,Second Owner,998,7,667201
Hyundai,i20,2020,179956,Diesel,19.2,Automatic,Second Owner,1248,4,501087
Toyota,Fortuner,2010,112445,Petrol,22.8,Automatic,First Owner,1997,6,356576
Mahindra,XUV300,2010,100937,CNG,26.4,Manual,Second Owner,998,4,252909
Kia,Sonet,2020,18006,Petrol,20,Automatic,Second Owner,1197,7,784781
Kia,Carens,2012,45774,Petrol,20.8,Automatic,Second Owner,1497,5,504910
Tata,Altroz,2020,45251,Diesel,26,Manual,Third Owner,1248,5,714797
Tata,Harrier,2013,195398,CNG,23,Manual,First Owner,796,6,220898
Maruti,Dzire,2013,18901,CNG,21.4,Manual,First Owner,998,4,426129
Hyundai,Venue,2022,183005,Petrol,17.4,Automatic,First Owner,1498,7,582553
Mahindra,Scorpio,2024,154009,Petrol,18.3,Automatic,Third Owner,1197,7,670877
Kia,Seltos,2012,161005,Petrol,27.9,Automatic,First Owner,2179,7,418386
Mahindra,XUV700,2019,195423,Petrol,17.4,Manual,Second Owner,1498,4,436005
Toyota,Urban Cruiser,2017,43981,Petrol,20.2,Manual,Second Owner,1197,4,584247
Honda,Amaze,2022,135171,CNG,27,Manual,Third Owner,1997,7,780192
Mahindra,Bolero,2024,61880,CNG,27.5,Manual,First Owner,1498,5,881638
Hyundai,Verna,2017,118882,CNG,20.5,Manual,First Owner,1997,4,519547
Toyota,Fortuner,2022,9615,Diesel,24.2,Automatic,Second Owner,796,6,807972
Kia,Seltos,2010,61594,Diesel,18,Automatic,First Owner,998,4,295102
Maruti,Swift,2012,7409,Petrol,29.7,Automatic,First Owner,1497,6,592158
Honda,Amaze,2010,142901,Diesel,13,Manual,First Owner,1197,4,162379
Kia,Carens,2021,160145,CNG,19.3,Automatic,First Owner,1997,7,700680
Kia,Carens,2018,109542,Petrol,24.7,Automatic,Second Owner,1997,4,695417
Tata,Punch,2019,156934,Petrol,25.9,Automatic,Second Owner,796,4,441725
Mahindra,Bolero,2012,34789,Petrol,17.7,Manual,Third Owner,1248,4,396573
Mahindra,Scorpio,2018,154475,Petrol,29.1,Automatic,Third Owner,1197,6,540064
Mahindra,Scorpio,2019,157421,CNG,20.2,Automatic,Third Owner,998,4,435387
Maruti,Baleno,2010,142356,Diesel,14.5,Manual,First Owner,2179,6,250195
Honda,Amaze,2015,10334,CNG,25.2,Manual,Second Owner,1997,4,723601
Kia,Seltos,2016,95956,CNG,15.9,Manual,Second Owner,1248,4,485295
Hyundai,Venue,2015,62213,CNG,20.4,Manual,First Owner,1498,5,542924
Tata,Altroz,2013,117034,CNG,27.3,Manual,Third Owner,1498,7,392189
Kia,Seltos,2021,12256,Diesel,22.3,Automatic,First Owner,1997,7,851638
Tata,Harrier,2014,75373,CNG,29.5,Manual,Second Owner,1197,4,509062
Toyota,Innova,2014,6357,CNG,14.6,Manual,First Owner,1248,5,536816
Tata,Punch,2022,87702,Diesel,23.2,Manual,First Owner,796,7,625275
Tata,Altroz,2011,119813,CNG,21.7,Automatic,Third Owner,1997,5,424397
Hyundai,Venue,2015,36674,CNG,19.9,Manual,First Owner,2179,6,614041
Hyundai,i20,2020,50485,Petrol,20.3,Manual,Second Owner,1197,4,624788
Mahindra,XUV700,2020,166687,Diesel,24.9,Manual,First Owner,2179,4,681175
Hyundai,Verna,2010,117124,CNG,25.2,Automatic,Second Owner,1997,5,353742
Honda,WR-V,2023,196295,Diesel,19.3,Manual,Second Owner,1197,5,517067
Maruti,Baleno,2014,100901,CNG,24.6,Automatic,Second Owner,1498,5,494740
Hyundai,i20,2017,38555,Petrol,25.6,Manual,First Owner,1248,4,620607
Maruti,Baleno,2020,88075,Petrol,27.7,Automatic,Third Owner,1197,7,703332
Honda,WR-V,2022,144276,Diesel,19.8,Manual,Third Owner,1997,5,721539
Mahindra,Scorpio,2015,182508,CNG,28.5,Manual,Second Owner,1197,5,326352
Tata,Nexon,2024,66032,Diesel,28,Manual,Third Owner,1248,4,798045
Toyota,Innova,2021,17887,Diesel,19.2,Automatic,Second Owner,1197,5,792029
Hyundai,Venue,2019,167607,CNG,15.5,Automatic,Third Owner,1197,7,465685
Hyundai,i20,2017,159916,CNG,22.2,Automatic,Third Owner,1197,7,491045
Mahindra,Bolero,2024,130339,Petrol,13,Manual,Third Owner,2179,4,778439
Hyundai,Creta,2012,39151,Diesel,16.3,Manual,First Owner,2179,4,562157
Tata,Punch,2024,11993,CNG,20.3,Automatic,Second Owner,2179,7,1034398
Toyota,Innova,2015,129037,Petrol,27.1,Automatic,Third Owner,1997,4,550386
Toyota,Innova,2025,140333,CNG,28.9,Automatic,Third Owner,1498,7,785467
Tata,Nexon,2014,165626,Diesel,21.1,Automatic,First Owner,1248,6,343812
Tata,Altroz,2020,43014,Petrol,13.9,Manual,Third Owner,1498,5,697922
Maruti,Dzire,2013,11686,Diesel,29.7,Automatic,First Owner,1197,6,574639
Hyundai,Venue,2010,68793,CNG,15.6,Automatic,First Owner,1197,5,351990
Mahindra,Scorpio,2017,74136,Diesel,28.1,Automatic,Third Owner,1498,6,590479
Tata,Harrier,2016,192295,CNG,20.8,Automatic,Second Owner,1497,5,387372
Tata,Altroz,2022,49194,Petrol,25.7,Automatic,Third Owner,1997,5,938815
Honda,Jazz,2014,169072,CNG,17,Automatic,Third Owner,1497,6,371771
Honda,Amaze,2020,182624,Diesel,28.3,Automatic,First Owner,1498,7,576784
Kia,Seltos,2012,141194,Diesel,18.8,Automatic,Second Owner,796,4,195712
Toyota,Fortuner,2014,178197,CNG,14.7,Automatic,Second Owner,1197,5,240237
Mahindra,Scorpio,2019,11272,Diesel,14.6,Manual,First Owner,2179,7,761299
Toyota,Innova,2023,18019,Petrol,22.7,Automatic,First Owner,1197,5,873351
Kia,Sonet,2015,121352,CNG,19,Manual,First Owner,998,7,371877
Toyota,Urban Cruiser,2014,111576,Diesel,21.6,Automatic,First Owner,2179,7,481523
Tata,Nexon,2023,46178,Diesel,16.3,Automatic,Second Owner,1248,6,807751
Mahindra,XUV700,2012,143934,Diesel,22.8,Manual,Third Owner,1197,4,302590
Mahindra,Scorpio,2020,87055,CNG,23.9,Manual,First Owner,1248,4,620325
Honda,Amaze,2020,139611,CNG,20.7,Automatic,Second Owner,2179,7,726318
Kia,Seltos,2010,112202,Petrol,25.2,Automatic,First Owner,1248,5,299988
Maruti,Swift,2014,75643,CNG,23,Manual,Third Owner,1197,5,478081
Honda,City,2015,106580,Petrol,25.5,Automatic,Third Owner,998,5,417823
Hyundai,i20,2025,56257,Diesel,18.4,Automatic,Third Owner,1197,4,899844
Honda,Jazz,2015,197899,CNG,13.5,Manual,Second Owner,1997,7,327629
Honda,City,2023,65968,Diesel,26.3,Manual,First Owner,1997,6,910419
Kia,Seltos,2014,181842,Diesel,23.9,Manual,First Owner,998,4,246832
Honda,Amaze,2013,196573,Diesel,17.2,Manual,Second Owner,998,5,143655
Toyota,Fortuner,2023,180523,Diesel,19.4,Automatic,Third Owner,796,6,553188
Kia,Seltos,2010,78127,Diesel,15.8,Manual,Second Owner,1248,4,311895
Maruti,WagonR,2012,108705,Petrol,17.5,Manual,First Owner,1997,5,362155
Kia,Carens,2024,96874,Diesel,13.3,Manual,Second Owner,1498,4,738727
Mahindra,Bolero,2018,131893,Diesel,26.8,Manual,First Owner,1498,7,498975
Kia,Seltos,2013,89674,Petrol,29.2,Manual,Second Owner,1197,6,447720
Kia,Seltos,2019,91821,CNG,22.4,Manual,Third Owner,796,6,501956
